abbreviatedaddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotsize,date_sold,price,zestimate,median_income
6127 NE 32nd Pl,Portland,97211,45.56740189,-122.6320343,3,3,4791,7/6/2021,695000,698600,40582
5044 NE Rodney Ave,Portland,97211,45.55980301,-122.6644821,2,4,4791,9/9/2020,610000,690100,40582
6805 NE Rodney Ave,Portland,97211,45.57197189,-122.6646194,1,2,4791,4/6/2021,530000,547300,40582
5634 NE 35th Ave,Portland,97211,45.56374741,-122.6283112,1,3,4791,3/18/2021,553400,585300,40582
5918 NE 22nd Ave,Portland,97211,45.56562424,-122.6431732,3,4,3484,11/19/2020,780000,853700,40582
4622 NE Garfield Ave,Portland,97211,45.55679703,-122.6622849,3,3,2613,3/12/2021,602500,639200,40582
4932 NE 9th Ave,Portland,97211,45.55866241,-122.6562805,2,4,3484,6/17/2021,810000,820200,40582
7049 NE Mallory Ave,Portland,97211,45.57402039,-122.6636353,1,4,4791,5/4/2021,525000,543600,40582
7044 NE Rodney Ct,Portland,97211,45.57402039,-122.6640244,3,3,4791,6/29/2021,665000,669900,40582
5615 NE 12th Ave,Portland,97211,45.56359482,-122.6534119,1,3,4791,6/17/2021,576000,585100,40582
5612 NE 31st Ave,Portland,97211,45.56347656,-122.6335526,3,5,4791,2/4/2021,722451,770800,40582
3266 NE Mason St,Portland,97211,45.55282211,-122.6313095,1,2,4791,6/17/2021,620000,632300,40582
4812 NE 27th Ave,Portland,97211,45.55789948,-122.6376038,2,3,3920,7/1/2021,730000,734000,40582
5408 NE 14th Pl,Portland,97211,45.5622406,-122.6504593,4,3,3484,3/4/2021,662000,698400,40582
6429 NE 31st Ave,Portland,97211,45.56954956,-122.6341705,2,3,4791,2/12/2021,660000,702100,40582
3535 NE Prescott St,Portland,97211,45.55540085,-122.6278381,2,4,4791,11/10/2020,661000,725600,40582
5620 NE 33rd Ave UNIT A,Portland,97211,45.56361008,-122.6303406,2,3,4791,9/7/2020,500000,565800,40582
2536 NE Alberta St,Portland,97211,45.55887604,-122.6390533,2,2,1742,9/24/2020,630000,709400,40582
5040 NE 18th Ave,Portland,97211,45.55966187,-122.6464844,2,3,3484,9/24/2020,505000,568600,40582
6564 NE Durham Ave,Portland,97211,45.57068253,-122.6550674,2,3,4791,10/13/2020,517000,579100,40582
5953 NE 18th Ave,Portland,97211,45.56604385,-122.6472092,2,3,4791,7/15/2021,650000,652100,40582
104 NE Bryant St,Portland,97211,45.5731163,-122.664856,3,4,5662,9/7/2020,568000,642700,40582
4819 NE Cleveland Ave,Portland,97211,45.55807114,-122.6658707,3,3,5227,9/7/2020,701000,785800,40582
2104 NE Bryant St,Portland,97211,45.57302856,-122.6440811,2,3,5662,9/24/2020,365000,700900,40582
6514 NE Bellevue Ave,Portland,97211,45.57032776,-122.6521225,2,3,4791,5/18/2021,601000,618700,40582
511 NE Ashley St,Portland,97211,45.56755066,-122.6599884,3,4,3049,7/15/2021,640000,640700,40582
4712 NE 15th Ave,Portland,97211,45.55715561,-122.649437,3,4,4791,9/7/2020,667000,747700,40582
6015 NE Mallory Ave,Portland,97211,45.56681061,-122.6639786,2,7,10000,11/19/2020,775900,963100,40582
718 NE Dekum St,Portland,97211,45.57152939,-122.6578522,3,4,9583,5/18/2021,999999,1023000,40582
4438 NE 38th Ave,Portland,97211,45.55509186,-122.6241531,2,3,5227,8/24/2020,610000,693100,40582
852 NE Roselawn St,Portland,97211,45.56100845,-122.6568832,2,3,2613,11/19/2020,549000,608000,40582
6716 NE 26th Ave,Portland,97211,45.57146454,-122.6388855,2,4,4791,11/19/2020,560000,620200,40582
4715 NE 20th Ave,Portland,97211,45.55714035,-122.6451416,1,3,4791,12/10/2020,570000,627100,40582
6056 NE Grand Ave,Portland,97211,45.56687164,-122.6600723,2,2,1800,6/29/2021,515400,520500,40582
6405 NE 35th Pl,Portland,97211,45.56918716,-122.6278152,3,4,4356,3/4/2021,834100,875600,40582
222 NE Alberta St,Portland,97211,45.55889893,-122.6631241,3,3,2613,12/10/2020,500000,550000,40582
4411 NE Cleveland Ave,Portland,97211,45.55522919,-122.6660156,1,2,3920,6/23/2021,665000,670400,40582
4527 NE 7th Ave,Portland,97211,45.55590439,-122.6588669,2,3,4791,10/22/2020,680000,752500,40582
4322 NE 24th Ave,Portland,97211,45.55476379,-122.6406479,2,3,4791,6/23/2021,575000,582500,40582
1634 NE Buffalo St,Portland,97211,45.57460022,-122.6485367,1,3,4791,9/24/2020,349000,389100,40582
6420 NE Cesar E Chavez Blvd,Portland,97211,45.56978989,-122.623291,3,3,8712,7/10/2020,640000,729500,40582
1066 NE Madrona St,Portland,97211,45.57367706,-122.6548538,1,2,4791,5/18/2021,500000,514700,40582
1329 NE Ainsworth St,Portland,97211,45.56660843,-122.6514053,1,3,4791,5/18/2021,566500,583200,40582
1407 NE Sumner St,Portland,97211,45.56079102,-122.6514511,2,2,3920,1/19/2021,545000,591100,40582
4587 NE 35th Pl,Portland,97211,45.55653381,-122.6279373,3,3,2613,8/11/2020,699900,730400,40582
6025 NE 35th Ave,Portland,97211,45.56684113,-122.6289368,1,3,4791,7/10/2020,575000,655400,40582
5236 NE Mallory Ave,Portland,97211,45.56106567,-122.6633987,3,4,4791,10/22/2020,787500,869000,40582
6706 NE 24th Ave,Portland,97211,45.57132339,-122.6410294,1,2,4791,9/24/2020,485000,546300,40582
3530 NE Ainsworth St,Portland,97211,45.56598663,-122.6279068,2,4,10890,5/18/2021,850000,870700,40582
5936 NE 17th Ave,Portland,97211,45.56584167,-122.6476974,1,3,4791,6/9/2021,606000,617800,40582
3010 NE Mason St,Portland,97211,45.55283356,-122.6345596,3,4,10454,12/24/2020,1396500,1512500,40582
5135 NE 20th Ave,Portland,97211,45.56018448,-122.6451187,2,4,4791,7/10/2020,650000,740900,40582
1724 NE Bryant St,Portland,97211,45.57310867,-122.6477585,3,4,4791,1/19/2021,599999,650800,40582
6624 NE 17th Ave,Portland,97211,45.57090378,-122.6480713,1,2,4400,5/26/2021,270000,516700,40582
1402 NE Dekum St,Portland,97211,45.57164764,-122.6508255,2,3,5227,3/9/2021,60000,690600,40582
836 NE Jarrett St,Portland,97211,45.56463242,-122.6571045,1,3,5227,12/10/2020,500000,550200,40582
3115 NE Rosa Parks Way,Portland,97211,45.57019806,-122.6334457,2,3,6534,10/5/2020,621547,697600,40582
1434 NE Prescott St,Portland,97211,45.55519485,-122.6509476,1,2,6969,10/22/2020,565000,631300,40582
5275 NE 15th Ave,Portland,97211,45.5614357,-122.6499863,3,7,4791,6/9/2021,550000,857200,40582
5614 NE 24th Ave,Portland,97211,45.56352615,-122.641037,2,3,4791,5/28/2021,679000,691800,40582
5729 NE 7th Ave,Portland,97211,45.56440735,-122.6589661,4,3,2178,12/10/2020,550000,605000,40582
6032 NE 31st Ave,Portland,97211,45.56688309,-122.6335526,2,3,7405,10/27/2020,692000,764600,40582
4513 NE 13th Ave,Portland,97211,45.55574799,-122.6530151,2,3,4791,9/4/2020,508800,576400,40582
235 NE Morgan St,Portland,97211,45.57463837,-122.6625595,1,3,4791,11/18/2020,520000,576100,40582
6315 NE 25th Ave,Portland,97211,45.56851578,-122.6405945,3,3,5662,7/10/2020,645000,735200,40582
6442 NE 33rd Ave,Portland,97211,45.56970215,-122.6303406,2,4,4791,10/19/2020,569900,637100,40582
5120 NE 27th Ave,Portland,97211,45.55994797,-122.6375885,2,4,3920,5/9/2021,640000,661200,40582
4217 NE 38th Ave,Portland,97211,45.55324173,-122.6247559,3,4,5662,9/27/2020,938000,1045800,40582
5103 NE 33rd Ave,Portland,97211,45.55976868,-122.6309738,1,4,5000,12/24/2020,210000,687500,40582
328 N Russet St,Portland,97217,45.57773972,-122.6699524,2,3,5000,7/1/2021,661600,591900,38442
6945 N Greeley Ave,Portland,97217,45.57327271,-122.6958237,2,3,4791,3/15/2021,605000,640700,38442
5726 N Interstate Ave,Portland,97217,45.56450272,-122.6818542,2,6,3920,3/15/2021,560000,594400,38442
4131 N Albina Ave,Portland,97217,45.55381775,-122.6747589,3,4,2613,3/15/2021,590000,624900,38442
242 N Lotus Isle Dr,Portland,97217,45.6053772,-122.6691895,3,3,8276,4/12/2021,575000,601700,38442
6936 N Interstate Ave,Portland,97217,45.57323837,-122.6816254,1,2,3484,3/12/2021,371000,394800,38442
835 N Webster St,Portland,97217,45.55994034,-122.6757965,2,4,4791,4/12/2021,710000,737300,38442
7027 N Moore Ave,Portland,97217,45.57374573,-122.668045,3,4,4356,3/12/2021,765000,804400,38442
6716 N Atlantic Ave,Portland,97217,45.57142258,-122.6962357,2,2,7405,3/12/2021,560000,594100,38442
4544 N Vancouver Ave,Portland,97217,45.55609894,-122.6678085,2,3,2613,4/14/2021,735000,762600,38442
7398 N Campbell Ave,Portland,97217,45.57654953,-122.6859436,3,4,4791,3/10/2021,731500,832200,38442
6609 N Congress Ave,Portland,97217,45.57080078,-122.6721039,1,3,5227,3/10/2021,600000,636800,38442
6536 N Delaware Ave,Portland,97217,45.5705452,-122.6921844,3,4,4791,3/9/2021,735000,773500,38442
5314 N Borthwick Ave,Portland,97217,45.56141663,-122.6736526,4,3,2613,3/9/2021,674000,709300,38442
338 N Mason St,Portland,97217,45.55316162,-122.6698837,4,4,2613,3/9/2021,815000,858000,38442
7133 N Curtis Ave,Portland,97217,45.57517624,-122.6985092,2,3,5450,3/9/2021,500000,531200,38442
6018 N Kerby Ave,Portland,97217,45.56676865,-122.6720047,3,4,4791,3/9/2021,771000,811700,38442
8265 N Wabash Ave,Portland,97217,45.58303833,-122.7029495,2,3,2613,3/7/2021,499900,531300,38442
5815 N Denver Ave,Portland,97217,45.56534958,-122.6878738,1,4,4791,4/14/2021,577000,603200,38442
8212 N Chautauqua Blvd UNIT A,Portland,97217,45.58259201,-122.7075272,3,4,2800,4/14/2021,699900,725900,38442
2656 N Halleck St,Portland,97217,45.5824852,-122.6946106,3,3,4791,3/4/2021,578000,615100,38442
5525 N Wilbur Ave,Portland,97217,45.56317902,-122.6938934,2,3,4791,3/4/2021,625000,665100,38442
7134 N Oatman Ave,Portland,97217,45.57517624,-122.7001266,2,2,5662,3/4/2021,576000,613000,38442
7337 N Mobile Ave,Portland,97217,45.57645035,-122.6896362,2,3,2613,3/4/2021,551500,586900,38442
8000 N Chautauqua Blvd,Portland,97217,45.58150101,-122.7075348,2,3,5662,3/4/2021,585000,622500,38442
720 N Holland St,Portland,97217,45.57560349,-122.6741867,2,4,5000,4/14/2021,300,637300,38442
5924 N Michigan Ave,Portland,97217,45.56592941,-122.6766434,1,1,3484,3/4/2021,299000,404500,38442
5851 N Campbell Ave,Portland,97217,45.56561661,-122.6867371,1,3,5000,4/15/2021,375000,649500,38442
404 N Lotus Isle Dr,Portland,97217,45.6064949,-122.6719055,3,3,7405,3/3/2021,675000,712900,38442
5934 N Atlantic Ave,Portland,97217,45.56622696,-122.6962891,2,4,4791,4/15/2021,628000,655900,38442
2305 N Dekum St,Portland,97217,45.57199097,-122.6906662,2,3,5662,7/16/2020,507500,577600,38442
130 N Emerson St,Portland,97217,45.56145859,-122.6681671,3,3,1306,3/1/2021,639000,680900,38442
7135 N Fenwick Ave,Portland,97217,45.57489777,-122.6855621,4,4,4791,3/1/2021,835000,881900,38442
5523 N Atlantic Ave UNIT A,Portland,97217,45.56314468,-122.696846,4,4,4791,3/1/2021,940000,992400,38442
8216 N Chautauqua Blvd UNIT A,Portland,97217,45.58266068,-122.7075272,3,4,2800,4/15/2021,699900,725500,38442
1635 N Watts St,Portland,97217,45.58118439,-122.6837387,1,2,4791,3/1/2021,485000,517000,38442
3620 N Alaska St,Portland,97217,45.58689117,-122.7040176,3,5,13503,3/1/2021,550000,586300,38442
7948 N Washburne Ave,Portland,97217,45.58132553,-122.7050629,2,4,8276,3/1/2021,535000,570100,38442
7214 N Albina Ave,Portland,97217,45.57539749,-122.6744766,1,1,4791,7/16/2020,350000,398200,38442
2539 N Arlington Pl,Portland,97217,45.58327866,-122.6930389,3,4,4791,2/26/2021,530000,565800,38442
7044 N Kerby Ave,Portland,97217,45.57407761,-122.6724854,1,2,4000,2/26/2021,250000,508900,38442
3404 N Terry St,Portland,97217,45.57964706,-122.7021027,4,4,6969,2/26/2021,760000,803700,38442
4313 N Kerby Ave,Portland,97217,45.55487061,-122.6726151,2,5,5000,4/15/2021,485000,834400,38442
5912 N Mississippi Ave #A,Portland,97217,45.56581879,-122.6756363,3,4,4791,2/26/2021,850000,898900,38442
7136 N Fenwick Ave,Portland,97217,45.57489777,-122.6849365,3,4,4791,2/26/2021,610000,651200,38442
2304 N Sumner St,Portland,97217,45.56031418,-122.6910248,2,3,4791,2/26/2021,631000,673600,38442
2715 N Emerson St,Portland,97217,45.56148911,-122.694519,3,3,8712,2/24/2021,725000,757600,38442
3532 N Winchell St,Portland,97217,45.58045197,-122.7033691,3,4,5662,7/16/2020,640000,726600,38442
4928 N Maryland Ave,Portland,97217,45.55873489,-122.6807861,2,3,3049,4/18/2021,575000,600600,38442
6717 N Montana Ave,Portland,97217,45.57154846,-122.6801376,3,4,3484,2/24/2021,495000,528600,38442
2629 N Terry St,Portland,97217,45.5800705,-122.6941299,1,1,5000,2/23/2021,307000,329100,38442
1835 N Alberta St,Portland,97217,45.55934525,-122.6864243,3,3,4791,2/23/2021,685000,720500,38442
2354 N Webster St,Portland,97217,45.5596199,-122.6916428,3,4,4791,2/23/2021,922000,975800,38442
223 N Jessup St,Portland,97217,45.56411362,-122.6693802,3,4,3920,2/23/2021,719800,762200,38442
1639 N Russet St,Portland,97217,45.57833481,-122.6838303,1,3,3920,4/20/2021,325000,539300,38442
6344 N Moore Ave,Portland,97217,45.56842804,-122.6676331,2,3,4791,4/20/2021,850000,879300,38442
3719 N Russet St,Portland,97217,45.57813644,-122.7049408,3,3,4356,2/21/2021,665000,704400,38442
1636 N Winchell St,Portland,97217,45.58003616,-122.6837387,2,4,4791,2/21/2021,635000,679100,38442
6926 N Campbell Ave,Portland,97217,45.57295609,-122.6859665,2,3,4791,4/20/2021,566200,590000,38442
863 N Winchell St,Portland,97217,45.58089447,-122.6757584,1,3,4791,2/18/2021,600000,642500,38442
10926 N Williams Ave,Portland,97217,45.60203552,-122.6660995,1,3,7405,2/18/2021,349000,375000,38442
619 N Humboldt St,Portland,97217,45.55852509,-122.6734238,2,3,3484,7/16/2020,699000,786616,38442
7036 N Mobile Ave,Portland,97217,45.57397842,-122.689064,3,3,3920,2/18/2021,725000,769000,38442
4476 N Michigan Ave UNIT A,Portland,97217,45.55540466,-122.6763458,2,3,1700,2/18/2021,670000,709200,38442
4125 N Colonial Ave,Portland,97217,45.55383682,-122.6843948,3,5,4791,7/12/2021,885000,886600,38442
725 N Buffalo St,Portland,97217,45.57526016,-122.6743622,3,3,2178,2/17/2021,497000,532700,38442
6804 N Delaware Ave,Portland,97217,45.57189178,-122.692215,2,4,7840,4/22/2021,668140,690900,38442
8733 N Curtis Ave,Portland,97217,45.58610535,-122.6987991,3,3,2613,4/22/2021,495000,515600,38442
7408 N Washburne Ave,Portland,97217,45.57659149,-122.7055359,3,4,6098,4/22/2021,699950,723800,38442
2134 N Willamette Blvd,Portland,97217,45.56172562,-122.6893845,3,2,4791,4/22/2021,576000,600000,38442
7018 N Mobile Ave,Portland,97217,45.57380676,-122.689064,3,3,4791,2/12/2021,635000,682200,38442
2585 N Hunt St,Portland,97217,45.58533096,-122.6939774,2,4,4791,2/12/2021,540000,580100,38442
4115 N Concord Ave,Portland,97217,45.55369949,-122.6854095,3,4,4791,2/10/2021,675000,718600,38442
5925 N Delaware Ave,Portland,97217,45.56607437,-122.6928482,3,5,4791,2/10/2021,581156,624900,38442
10917 N Moore Ave,Portland,97217,45.60207748,-122.6675568,2,3,2500,2/10/2021,368000,397100,38442
7024 N Mississippi Ave,Portland,97217,45.57381821,-122.6761169,1,2,2613,2/10/2021,370000,399000,38442
8121 N Mississippi Ave,Portland,97217,45.58192444,-122.6766281,3,3,4791,2/9/2021,580000,624000,38442
6625 N Boston Ave,Portland,97217,45.57126617,-122.6917877,2,3,7405,2/7/2021,548500,644400,38442
8715 N Tyndall Ave,Portland,97217,45.58538055,-122.6934509,3,3,2613,4/23/2021,620000,645500,38442
6942 N Villard Ave,Portland,97217,45.57299805,-122.6972351,3,5,4791,4/23/2021,630000,655900,38442
8917 N Curtis Ave,Portland,97217,45.58740997,-122.6987915,3,3,2613,4/23/2021,492500,512800,38442
345 N Lotus Beach Dr,Portland,97217,45.6072464,-122.670639,3,2,4791,2/4/2021,595000,641600,38442
3245 N Willamette Blvd,Portland,97217,45.5707016,-122.7000732,3,5,6098,2/4/2021,690000,736500,38442
6304 N Burrage Ave,Portland,97217,45.56832886,-122.6942368,2,3,4791,2/4/2021,602000,648800,38442
2402 N Blandena St UNIT A,Portland,97217,45.55670166,-122.6916122,4,5,4791,4/23/2021,1150000,1188600,38442
6027 N Minnesota Ave,Portland,97217,45.56686783,-122.6794434,2,7,6534,2/4/2021,560000,603500,38442
4205 N Massachusetts Ave,Portland,97217,45.55396652,-122.6823578,3,5,4791,2/2/2021,568200,612900,38442
6706 N Concord Ave,Portland,97217,45.57134247,-122.6839523,2,2,5000,2/2/2021,550000,593300,38442
7025 N Campbell Ave,Portland,97217,45.57394028,-122.6865845,2,4,4791,4/26/2021,700000,722600,38442
4924 N Williams Ave,Portland,97217,45.5586853,-122.6663666,1,3,5227,2/1/2021,549000,592800,38442
905 N Harbour Dr UNIT 8,Portland,97217,45.60458755,-122.676384,4,4,421,4/26/2021,490000,509400,38442
6024 N Commercial Ave,Portland,97217,45.56690216,-122.6709213,1,4,5000,2/1/2021,161230,674300,38442
7626 N Denver Ave,Portland,97217,45.57853317,-122.6865234,2,2,5227,4/26/2021,529000,550000,38442
8247 N Fowler Ave,Portland,97217,45.58305359,-122.7070618,3,3,2613,1/27/2021,531900,575400,38442
7205 N Greeley Ave,Portland,97217,45.57552338,-122.6958008,2,5,4791,1/27/2021,599900,648700,38442
5715 N Minnesota Ave,Portland,97217,45.56437683,-122.6794739,1,2,4791,1/27/2021,479000,533800,38442
517 N Buffalo St,Portland,97217,45.57532883,-122.6711197,2,3,4791,4/28/2021,588000,610500,38442
5546 N Denver Ave,Portland,97217,45.56339645,-122.6871567,2,4,5000,1/27/2021,325000,678100,38442
6213 N Michigan Ave,Portland,97217,45.56798172,-122.6772537,2,3,6098,1/27/2021,650000,702900,38442
425 N Marine Dr,Portland,97217,45.60223389,-122.6705246,1,2,4791,1/26/2021,323494,351300,38442
6227 N Mississippi Ave,Portland,97217,45.56812286,-122.6762161,2,3,5227,4/28/2021,590000,612600,38442
6835 N Concord Ave,Portland,97217,45.57226181,-122.6845703,2,3,4791,1/24/2021,550000,595400,38442
6926 N Atlantic Ave,Portland,97217,45.57299423,-122.6962204,1,2,4791,7/12/2021,575000,576000,38442
6315 N Michigan Ave,Portland,97217,45.56873322,-122.6772461,2,3,6098,1/24/2021,690000,739200,38442
7304 N Vincent Ave,Portland,97217,45.57598495,-122.7012634,2,3,4791,4/28/2021,337000,568000,38442
23 N Baldwin St,Portland,97217,45.57883072,-122.6673813,1,3,4791,1/21/2021,369900,402400,38442
2902 N Winchell St,Portland,97217,45.58034897,-122.6965103,1,2,4791,1/21/2021,340000,370000,38442
6929 N Newcastle Ave,Portland,97217,45.57311249,-122.6902084,2,4,10018,4/28/2021,750000,773200,38442
7018 N Greenwich Ave,Portland,97217,45.57378387,-122.6829681,1,3,5000,1/15/2021,525000,549100,38442
437 N Tomahawk Island Dr #12,Portland,97217,45.60741425,-122.6719513,2,2,4791,4/28/2021,485000,503800,38442
4136 N Overlook Ter,Portland,97217,45.55354309,-122.6886902,3,4,7840,1/13/2021,900000,967900,38442
4606 N Commercial Ave,Portland,97217,45.55614471,-122.6709442,1,2,3049,1/13/2021,582000,632900,38442
8618 N Hamlin Ave,Portland,97217,45.58533096,-122.7021179,1,3,4791,1/13/2021,364000,397300,38442
6445 N Williams Ave,Portland,97217,45.56973267,-122.6671753,3,3,6098,1/13/2021,550000,597900,38442
6405 N Denver Ave,Portland,97217,45.56918716,-122.6878281,2,4,4791,1/13/2021,550000,597900,38442
2117 N Watts St,Portland,97217,45.5811882,-122.6883316,1,3,4791,1/12/2021,565000,614700,38442
6833 N Haight Ave,Portland,97217,45.57257462,-122.6700668,1,2,5227,1/12/2021,225000,559500,38442
1725 N Webster St,Portland,97217,45.56004715,-122.6854477,2,5,4791,1/12/2021,630000,685400,38442
7036 N Burrage Ave,Portland,97217,45.57411957,-122.6941376,3,3,6098,1/12/2021,495000,538500,38442
1554 N Jessup St #A,Portland,97217,45.56386948,-122.6834183,2,2,5000,1/12/2021,665000,715700,38442
6224 N Omaha Ave,Portland,97217,45.56794739,-122.6899109,1,2,4791,4/29/2021,570000,591500,38442
932 N Alberta St,Portland,97217,45.55878448,-122.6768188,2,4,4791,4/29/2021,710000,732800,38442
5210 N Emerson Dr,Portland,97217,45.56070328,-122.6966248,3,3,6800,1/7/2021,600000,833000,38442
2709 N Winchell St,Portland,97217,45.58078384,-122.6952438,1,4,5000,7/14/2020,540000,614700,38442
6206 N Boston Ave,Portland,97217,45.56768036,-122.69104,2,4,5227,1/7/2021,612000,666800,38442
7136 N Vancouver Ave,Portland,97217,45.57465744,-122.6683273,3,3,1742,1/7/2021,565000,615600,38442
1325 N Farragut St,Portland,97217,45.57952118,-122.6808319,2,3,5227,4/29/2021,525000,544800,38442
5657 N Wilbur Ave,Portland,97217,45.56440735,-122.6938858,2,3,4791,1/5/2021,520000,567000,38442
7063 N Haight Ave,Portland,97217,45.57429886,-122.6700439,2,4,4791,12/30/2020,599000,666000,38442
2205 N Willamette Blvd,Portland,97217,45.56222534,-122.6902313,2,3,4791,5/3/2021,535000,554500,38442
8333 N Peninsular Ave,Portland,97217,45.58380508,-122.6975555,2,4,4791,12/30/2020,340000,568600,38442
5838 N Haight Ave,Portland,97217,45.5657196,-122.6698608,3,4,4791,12/30/2020,780000,843200,38442
3308 N Terry St,Portland,97217,45.57964325,-122.7011948,2,4,5662,5/3/2021,532000,551300,38442
6014 N Haight Ave,Portland,97217,45.56676483,-122.6698532,2,3,4791,5/3/2021,790000,813100,38442
7206 N Lancaster Ave,Portland,97217,45.57545471,-122.6880264,1,2,5000,12/30/2020,331500,510900,38442
8216 N Brandon Ave,Portland,97217,45.58267975,-122.6887207,2,3,4791,5/4/2021,601000,622300,38442
1618 N Sumner St,Portland,97217,45.56030655,-122.6838837,3,3,2613,5/4/2021,774000,796300,38442
6905 N Mississippi Ave,Portland,97217,45.57270813,-122.6762085,2,3,4791,5/4/2021,662000,680800,38442
316 N Lotus Isle Dr,Portland,97217,45.60588455,-122.6703873,3,3,6534,12/27/2020,605000,662000,38442
7049 N Mississippi Ave,Portland,97217,45.57416153,-122.6766586,2,3,4791,5/4/2021,515000,533500,38442
705 N Alberta St,Portland,97217,45.55923462,-122.674202,2,3,4791,5/4/2021,696000,715800,38442
2741 N Willis Blvd,Portland,97217,45.58396912,-122.6956177,3,4,4791,12/22/2020,536000,587500,38442
7032 N Omaha Ave,Portland,97217,45.57401276,-122.690155,1,3,4356,5/4/2021,531000,550100,38442
7545 N Fowler Ave,Portland,97217,45.57785416,-122.7071762,2,3,4791,12/22/2020,565000,619100,38442
7125 N Seward Ave,Portland,97217,45.57503128,-122.7041245,2,3,4791,5/4/2021,716000,736700,38442
1824 N Blandena St,Portland,97217,45.5570488,-122.6866989,2,3,4356,12/21/2020,500000,548200,38442
2315 N Lombard St,Portland,97217,45.57736588,-122.6905136,4,6,5227,5/6/2021,800000,822400,38442
3175 N Halleck St,Portland,97217,45.58284378,-122.6995163,1,3,4791,12/21/2020,480000,526300,38442
927 N Baldwin St,Portland,97217,45.57876968,-122.6769714,1,2,2613,12/18/2020,345000,380100,38442
1525 N Blandena St,Portland,97217,45.55709076,-122.6830826,2,3,5350,7/14/2020,350000,398400,38442
242 N Lombard St,Portland,97217,45.57697296,-122.6693649,2,4,4791,5/7/2021,500000,517300,38442
222 N Hayden Bay Dr,Portland,97217,45.61009979,-122.6699142,2,3,234352,5/7/2021,375000,387900,38442
5738 N Denver Ave,Portland,97217,45.56507111,-122.6871338,3,4,4791,12/16/2020,589000,647900,38442
4611 N Kerby Ave,Portland,97217,45.55645752,-122.6732254,2,3,4791,12/16/2020,550000,604000,38442
1518 N Watts St,Portland,97217,45.5807457,-122.6825638,2,3,5227,5/7/2021,551000,570000,38442
5605 N Denver Ave,Portland,97217,45.56368256,-122.6878891,2,3,4791,5/7/2021,522500,540500,38442
365 N Lotus Beach Dr,Portland,97217,45.60723114,-122.6707993,3,2,4791,12/16/2020,575000,631700,38442
2031 N Dekum St,Portland,97217,45.57198334,-122.6880875,1,2,6098,5/7/2021,575000,518400,38442
2835 N Arlington Pl,Portland,97217,45.58322144,-122.6962051,4,4,4791,12/14/2020,655000,712400,38442
8905 N Drummond Ave,Portland,97217,45.58734131,-122.6996384,3,3,2613,12/14/2020,520000,571100,38442
5537 N Greeley Ave,Portland,97217,45.5633316,-122.6959229,1,2,4791,12/14/2020,540000,477600,38442
8352 N Chautauqua Blvd,Portland,97217,45.58370209,-122.7076569,3,4,3049,12/13/2020,525000,577000,38442
602 N Buffalo St,Portland,97217,45.57491684,-122.6729965,1,2,5000,5/9/2021,532000,558400,38442
111 N Morgan St,Portland,97217,45.57463455,-122.6679993,3,4,6969,5/9/2021,505000,521700,38442
7338 N Knowles Ave,Portland,97217,45.57636261,-122.698967,5,4,11325,12/10/2020,525000,578900,38442
6807 N Denver Ave,Portland,97217,45.57188034,-122.6876373,2,3,5662,12/10/2020,530000,583000,38442
7832 N Peninsular Ave,Portland,97217,45.58041763,-122.6969528,2,4,3920,12/10/2020,530000,583000,38442
1593 N Skidmore St,Portland,97217,45.55482483,-122.6839828,2,3,4791,12/10/2020,675000,735100,38442
2824 N Watts St,Portland,97217,45.58106232,-122.696167,3,3,2613,5/9/2021,565000,583700,38442
848 N Stafford St,Portland,97217,45.57628632,-122.6759262,2,4,5000,5/9/2021,600000,619900,38442
6715 N Commercial Ave,Portland,97217,45.5714798,-122.6710815,3,4,4791,12/10/2020,610000,671100,38442
6906 N Concord Ave,Portland,97217,45.57266998,-122.6839447,2,3,4791,5/9/2021,527000,545200,38442
2621 N Sumner St,Portland,97217,45.5607872,-122.694046,2,3,4791,12/8/2020,635000,699000,38442
4406 N Vancouver Ave,Portland,97217,45.55513763,-122.6676407,2,4,6098,12/8/2020,600000,660500,38442
7066 N Williams Ave,Portland,97217,45.57429504,-122.6664963,1,4,4791,7/13/2021,490000,636000,38442
7526 N Elmore Ave,Portland,97217,45.5775795,-122.685463,1,3,5227,5/10/2021,550000,568000,38442
8828 N Calvert Ave,Portland,97217,45.58650589,-122.6958694,2,3,4791,12/8/2020,490000,539600,38442
6940 N Knowles Ave,Portland,97217,45.57302094,-122.6989975,3,4,3484,5/10/2021,760000,779700,38442
8802 N Hamlin Ave,Portland,97217,45.58633804,-122.7021179,3,3,3920,12/7/2020,535000,589300,38442
4905 N Vancouver Ave,Portland,97217,45.55844879,-122.6684265,1,3,4300,12/7/2020,1100000,1197700,38442
7055 N Atlantic Ave,Portland,97217,45.57440186,-122.6968307,1,2,4791,5/12/2021,501000,517100,38442
4159 N Overlook Ter,Portland,97217,45.55371857,-122.6896591,2,3,20908,12/4/2020,750000,860000,38442
1900 N Watts St,Portland,97217,45.58074951,-122.6858292,2,3,5000,5/12/2021,130000,403000,38442
445 N Hayden Bay Dr #71,Portland,97217,45.61043167,-122.6735001,1,2,336718,7/13/2021,214000,261800,38442
4732 N Gantenbein Ave,Portland,97217,45.55739594,-122.6686554,2,4,4791,5/12/2021,703000,720600,38442
